province,commodity,year,min_price,max_price,avg_price,median_price,count
GORONTALO,Red Cayenne Pepper,2024,21290.0,108730.0,55168.46715328467,58740.0,274
GORONTALO,Shallots,2022,30020.0,78300.0,40875.666666666664,38870.0,330
GORONTALO,Shallots,2023,21250.0,48020.0,34695.45205479452,35700.0,365
GORONTALO,Shallots,2024,23600.0,64040.00000000001,39391.05839416059,38125.0,274
GORONTALO,Simple Packaged Cooking Oil,2022,15160.0,30000.0,17781.48409893993,15980.0,283
GORONTALO,Simple Packaged Cooking Oil,2023,15660.0,18730.0,17381.013698630137,17510.0,365
GORONTALO,Simple Packaged Cooking Oil,2024,17250.0,20650.0,19306.167883211678,19500.0,274
JAMBI,Broiler Chicken Meat,2022,28570.0,45090.0,33724.561933534744,32320.0,331
JAMBI,Broiler Chicken Meat,2023,27820.0,39730.0,32138.84931506849,31330.0,365
JAMBI,Broiler Chicken Meat,2024,28730.0,41490.0,34212.444444444445,34125.0,270
JAMBI,Bulk Cooking Oil,2022,12830.0,18070.0,14219.547511312217,13380.0,221
JAMBI,Bulk Cooking Oil,2023,13440.0,14600.0,14056.90410958904,14160.0,365
JAMBI,Bulk Cooking Oil,2024,13610.0,15580.0,14603.555555555555,14675.0,270
JAMBI,Bulk Wheat Flour,2022,7940.0,10980.0,9506.948640483384,9490.0,331
JAMBI,Bulk Wheat Flour,2023,10610.0,11170.0,10919.04109589041,10980.0,365
JAMBI,Bulk Wheat Flour,2024,10000.0,10630.0,10307.518518518518,10310.0,270
JAMBI,Chicken Eggs,2022,22830.0,28990.0,26018.21752265861,26400.0,331
JAMBI,Chicken Eggs,2023,26450.0,30000.0,28271.50684931507,28230.0,365
JAMBI,Chicken Eggs,2024,26880.0,30050.0,27922.74074074074,27840.0,270
JAMBI,Consumption Sugar,2022,12950.0,14590.0,13979.87915407855,14080.0,331
JAMBI,Consumption Sugar,2023,13950.0,17040.0,14692.301369863013,14270.0,365
